,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
MYBL2,0.45614263,0.02864518,-0.005691914,-0.0028867237,-0.0014792542,0.12631738,0.37662503,-0.004264706,-0.00095613446,-0.0035113543,0.08387086,0.7192702,0.5984069,0.15694092,0.45810392,0.83485144
GABARAPL2,0.6802654,-0.0043750764,-0.005270401,0.09122707,0.10414075,-0.002439942,0.9162797,-0.0019309922,0.17144868,-0.013169129,0.33150432,-0.0055900873,1.9382124,0.10496949,-0.00082140206,0.6798796
PLK2,0.9086348,-0.0047507146,-0.0057286555,0.16905361,0.12383513,-0.0028279086,0.8705957,-0.0017179098,0.30345595,-0.014390873,0.31936166,-0.0061620483,1.9255371,0.19718972,-0.0003664667,0.7791159
EYA1,2.0007277,-0.0045661055,-0.00806874,0.5283923,0.31036338,-0.0057554822,0.3289157,-0.0017039059,0.9377841,-0.017525485,0.41887808,-0.003126661,1.8079073,0.5955088,-0.0012505284,1.2797766
HIST1H2BL,6.4203687,-0.0058064084,-0.022838408,2.3991308,1.9724437,-0.012195707,-0.018985182,-0.0021823493,3.509897,-0.027152956,0.3138638,0.12980512,-0.0009032996,2.6416206,0.26035118,3.8898008
PATJ,6.4203687,-0.0058064084,-0.022838408,2.3991308,1.9724437,-0.012195707,-0.018985182,-0.0021823493,3.509897,-0.027152956,0.3138638,0.12980512,-0.0009032996,2.6416206,0.26035118,3.8898008
TPM1,0.8774041,-0.0029680913,-0.006173828,-0.00020994223,-0.0003506917,-0.003730735,0.72006166,0.07684909,0.504156,-0.012695278,0.5012515,-0.009533215,1.587729,0.23315635,-0.0012412895,0.73360866
GM25057,6.419756,-0.0058109597,-0.02285921,2.3985384,1.971721,-0.01217792,-0.018971454,-0.0021725043,3.5088727,-0.027151007,0.31419295,0.12833694,-0.0008980636,2.6423025,0.25915897,3.891209
MAGED1,1.269823,-0.0054182685,-0.006759848,0.32931426,0.21393748,-0.0037372427,0.6775423,-0.0016757,0.52850956,-0.015619483,0.3235971,-0.0058256746,1.888336,0.32107955,-0.00069361005,0.9559098
CCND2,0.4612672,-0.003915234,-0.0047360263,-3.7344842e-05,0.06506097,-0.001885452,0.9963784,-0.0022326729,0.031249478,-0.012601018,0.32948148,-0.0057384255,1.9574156,0.042075954,-0.0008321337,0.5690204
GM43110,6.4203687,-0.0058064084,-0.022838408,2.3991308,1.9724437,-0.012195707,-0.018985182,-0.0021823493,3.509897,-0.027152956,0.3138638,0.12980512,-0.0009032996,2.6416206,0.26035118,3.8898008
ANKS1,6.4203687,-0.0058064084,-0.022838408,2.3991308,1.9724437,-0.012195707,-0.018985182,-0.0021823493,3.509897,-0.027152956,0.3138638,0.12980512,-0.0009032996,2.6416206,0.26035118,3.8898008
GALK1,1.4130611,-0.0053823194,-0.007339229,0.426297,0.25108057,-0.003853582,0.6112317,-0.0014058509,0.64929104,-0.016390055,0.22089407,-0.0061721834,1.8009241,0.4254646,-0.00022115506,0.99954563
MTA3,1.5101787,-0.0055107097,-0.0077460133,0.4797368,0.28143916,-0.0041164802,0.5497063,-0.0014377987,0.70184726,-0.016506432,0.23398355,-0.005918807,1.8109577,0.46701527,-0.00039823912,1.0742416
RUVBL2,6.425091,-0.0055313557,-0.022981044,2.370161,1.9467798,-0.012356897,-0.019242074,-0.0017961183,3.5510561,-0.026987122,0.34104377,0.07005285,-0.0014588101,2.6532414,0.24675202,3.883972
GM25183,6.4203687,-0.0058064084,-0.022838408,2.3991308,1.9724437,-0.012195707,-0.018985182,-0.0021823493,3.509897,-0.027152956,0.3138638,0.12980512,-0.0009032996,2.6416206,0.26035118,3.8898008
RPL17-PS10,6.4203687,-0.0058064084,-0.022838408,2.3991308,1.9724437,-0.012195707,-0.018985182,-0.0021823493,3.509897,-0.027152956,0.3138638,0.12980512,-0.0009032996,2.6416206,0.26035118,3.8898008
GFPT2,1.3171535,-0.0033441975,-0.01141675,0.7106689,0.17140175,-0.0016341739,0.34171772,-0.0023631582,0.6499248,-0.01327954,0.024875145,-0.007344746,1.401959,0.42362455,0.27425885,0.882424
ZFP91,6.4203687,-0.0058064084,-0.022838408,2.3991308,1.9724437,-0.012195707,-0.018985182,-0.0021823493,3.509897,-0.027152956,0.3138638,0.12980512,-0.0009032996,2.6416206,0.26035118,3.8898008
AP1AR,6.4203687,-0.0058064084,-0.022838408,2.3991308,1.9724437,-0.012195707,-0.018985182,-0.0021823493,3.509897,-0.027152956,0.3138638,0.12980512,-0.0009032996,2.6416206,0.26035118,3.8898008
AMOTL2,0.6671128,-0.0061580455,-0.0013805071,-0.0022407845,0.2964392,-0.005887758,0.5503763,-0.0033195883,0.2791701,-0.0107033355,0.24448234,-0.0013159332,1.8272014,0.09362368,-0.001084589,0.5783102
GM49369,6.4203687,-0.0058064084,-0.022838408,2.3991308,1.9724437,-0.012195707,-0.018985182,-0.0021823493,3.509897,-0.027152956,0.3138638,0.12980512,-0.0009032996,2.6416206,0.26035118,3.8898008
POLR1E,6.4203687,-0.0058064084,-0.022838408,2.3991308,1.9724437,-0.012195707,-0.018985182,-0.0021823493,3.509897,-0.027152956,0.3138638,0.12980512,-0.0009032996,2.6416206,0.26035118,3.8898008
CRIP2,1.7821753,-0.005146212,-0.0075611016,0.548571,0.40203726,-0.0045828386,0.3868029,-0.00087869307,0.7859434,-0.015896963,0.29751724,-0.0042344173,1.6961925,0.5195087,-0.0007455599,1.2266185
GM23578,6.4203687,-0.0058064084,-0.022838408,2.3991308,1.9724437,-0.012195707,-0.018985182,-0.0021823493,3.509897,-0.027152956,0.3138638,0.12980512,-0.0009032996,2.6416206,0.26035118,3.8898008
EIF4A-PS4,0.9090173,-0.0075483858,-0.006749106,0.13942443,-0.0005679431,-0.0032414182,0.64456344,-0.005242045,0.7100642,-0.0152139,0.38544288,-0.0062621245,1.6761537,0.1522351,-0.003274724,0.7820428
CREB3,1.4320288,-0.0054181432,-0.0072354325,0.41798493,0.25394556,-0.0039555877,0.613798,-0.001557626,0.62337387,-0.016118228,0.28685164,-0.005758489,1.8497972,0.39928117,-0.00046152822,1.0472891
XRCC5,1.446446,-0.0050174305,-0.00745531,0.35193184,0.2861834,-0.0050146,0.6376389,-0.00066351687,0.61849964,-0.015602234,0.21978578,-0.0052723056,1.8933156,0.32687297,-0.00046514248,1.0896893
MDM2,0.8192624,-0.0045404495,-0.0061807325,0.13814245,0.16049705,-0.0024510196,0.8759787,-0.0025550898,0.18437643,-0.013680582,0.31266236,-0.005120467,1.9307683,0.17848217,-0.0006869993,0.7320183
SPC25,6.4203687,-0.0058064084,-0.022838408,2.3991308,1.9724437,-0.012195707,-0.018985182,-0.0021823493,3.509897,-0.027152956,0.3138638,0.12980512,-0.0009032996,2.6416206,0.26035118,3.8898008
PGAM1-PS2,6.4202614,-0.0058072535,-0.022839213,2.3989003,1.9721154,-0.012194765,-0.01898264,-0.0021852588,3.5095189,-0.027157035,0.3141057,0.12942573,-0.000902193,2.641251,0.26050782,3.8898463
RPN1,6.4200554,-0.005795467,-0.022825936,2.3981855,1.9735378,-0.012180083,-0.018984763,-0.002190773,3.509441,-0.027147396,0.31357375,0.12906459,-0.000915121,2.6420035,0.2604689,3.8890128
TCF12,0.6169952,-0.0070278635,-0.0060291486,-0.00013045766,-0.0008489884,-0.0027893814,0.7393992,-0.0058472846,0.48057607,-0.013909904,0.48072267,-0.0056150374,1.7599165,0.023386315,-0.0039424524,0.67994595
GM38009,6.4203687,-0.0058064084,-0.022838408,2.3991308,1.9724437,-0.012195707,-0.018985182,-0.0021823493,3.509897,-0.027152956,0.3138638,0.12980512,-0.0009032996,2.6416206,0.26035118,3.8898008
JARID2,0.8409972,0.026364766,-0.007392346,-0.0033082971,-0.000660747,0.11110472,0.19770423,-0.0046810396,0.11670233,-0.0035380898,0.10234004,0.9011232,0.43260556,0.42462853,0.47344384,0.9699648
GM26431,6.4203687,-0.0058064084,-0.022838408,2.3991308,1.9724437,-0.012195707,-0.018985182,-0.0021823493,3.509897,-0.027152956,0.3138638,0.12980512,-0.0009032996,2.6416206,0.26035118,3.8898008
ARHGAP1,6.4147015,-0.005597978,-0.023098351,2.402043,1.9591081,-0.0122764595,-0.019266162,-0.0020793958,3.5217586,-0.027424105,0.28807095,0.11177318,-0.001167405,2.6673682,0.2809347,3.9088173
MAPK8,6.4203687,-0.0058064084,-0.022838408,2.3991308,1.9724437,-0.012195707,-0.018985182,-0.0021823493,3.509897,-0.027152956,0.3138638,0.12980512,-0.0009032996,2.6416206,0.26035118,3.8898008
GM45213,6.4147015,-0.005597978,-0.023098351,2.402043,1.9591081,-0.0122764595,-0.019266162,-0.0020793958,3.5217586,-0.027424105,0.28807095,0.11177318,-0.001167405,2.6673682,0.2809347,3.9088173
FXYD6,0.7769662,-0.0043027904,-0.0053837383,0.1282371,0.13006613,-0.0026582612,0.87589777,-0.001964207,0.20887604,-0.013603982,0.32571077,-0.0055277934,1.9352393,0.14198343,-0.0007706197,0.7400744
BARD1,6.421568,-0.0058179824,-0.02282129,2.3978083,1.973468,-0.012208898,-0.018973798,-0.0021765844,3.508998,-0.027164932,0.31463975,0.13071796,-0.000885169,2.6413848,0.25902057,3.8900511
FAM234A,6.4203687,-0.0058064084,-0.022838408,2.3991308,1.9724437,-0.012195707,-0.018985182,-0.0021823493,3.509897,-0.027152956,0.3138638,0.12980512,-0.0009032996,2.6416206,0.26035118,3.8898008
ITM2B,6.4203687,-0.0058064084,-0.022838408,2.3991308,1.9724437,-0.012195707,-0.018985182,-0.0021823493,3.509897,-0.027152956,0.3138638,0.12980512,-0.0009032996,2.6416206,0.26035118,3.8898008
CEBPZ,6.4203687,-0.0058064084,-0.022838408,2.3991308,1.9724437,-0.012195707,-0.018985182,-0.0021823493,3.509897,-0.027152956,0.3138638,0.12980512,-0.0009032996,2.6416206,0.26035118,3.8898008
HMGXB3,2.0376217,-0.0056124274,-0.00879044,0.6911916,0.44095358,-0.0051055327,0.28785095,-0.0012265736,0.96041965,-0.017426878,0.25534922,-0.00479123,1.6793869,0.6494292,-0.000538938,1.3684798
BTBD11,6.4203687,-0.0058064084,-0.022838408,2.3991308,1.9724437,-0.012195707,-0.018985182,-0.0021823493,3.509897,-0.027152956,0.3138638,0.12980512,-0.0009032996,2.6416206,0.26035118,3.8898008
PHLDB2,0.8282579,-0.0044366233,-0.0056098625,0.1289733,0.13022585,-0.002780899,0.8618467,-0.0021464026,0.23757923,-0.014166402,0.3286985,-0.00567788,1.9403274,0.1659864,-0.0008530463,0.7538014
ZEB2,1.0775815,-0.004797512,-0.006132927,0.23364826,0.16930094,-0.0032637322,0.7783979,-0.001925055,0.3858299,-0.015056166,0.32794705,-0.0057205516,1.9132187,0.24996896,-0.0006145062,0.87834775
TMEM59,6.4203687,-0.0058064084,-0.022838408,2.3991308,1.9724437,-0.012195707,-0.018985182,-0.0021823493,3.509897,-0.027152956,0.3138638,0.12980512,-0.0009032996,2.6416206,0.26035118,3.8898008
ZFP423,1.0178154,-0.006928044,-0.007510557,0.34521398,0.14712775,-0.0027867325,0.6999295,0.005257651,0.5513319,-0.016319878,0.30520824,-0.0060631745,1.9290102,0.3431176,-0.002043595,0.7212415
EDEM1,6.45583,-0.00574956,-0.02283576,2.3792217,1.9962386,-0.012338086,-0.019032797,-0.0019343444,3.4989612,-0.027521167,0.29648235,0.104604706,-0.00075451296,2.6279185,0.27587992,3.8754084
HIST1H2BB,1.5239221,-0.0055721668,-0.007415706,0.44970277,0.28016767,-0.0041736746,0.56643987,-0.0015835741,0.6633277,-0.016241258,0.30749387,-0.0054640304,1.8384516,0.4186397,-0.00061627355,1.096196
PMS1,5.908045,-0.008699727,-0.027723758,2.1457407,2.101942,-0.007235971,-0.014953279,-0.0057115424,2.775754,-0.021110391,0.24416953,0.49898586,-0.00027619494,2.876424,0.25539482,3.338265
MIR7063,6.4203687,-0.0058064084,-0.022838408,2.3991308,1.9724437,-0.012195707,-0.018985182,-0.0021823493,3.509897,-0.027152956,0.3138638,0.12980512,-0.0009032996,2.6416206,0.26035118,3.8898008
DIDO1,0.18481858,-0.0033585604,-0.0037321753,-0.0011410553,-0.00023815561,-0.0013084739,1.11988,-0.0024316588,-0.0012579866,-0.012085801,0.27915692,-0.006259286,1.962637,-0.000641391,-0.000543579,0.3883114
FDPS,2.0859265,-0.003205123,-0.0061865896,0.3069928,0.30721012,-0.0036412736,0.63628924,-0.0044127507,0.62737834,-0.01377215,0.6870723,-0.00089870224,1.3475358,0.8461156,0.28021377,1.7104336
ZDHHC15,1.1981878,-0.0044648326,-0.0057903915,0.4158526,0.41887262,-0.004059406,0.5731709,0.024250865,0.6848387,-0.011959677,0.1843973,-0.002922247,1.8190169,0.509876,-0.0017525965,0.86488044
RHOX6,-0.0024026728,-0.00021986474,-0.003220687,-0.0049062623,-0.002587296,0.088084124,0.6086774,-0.003121227,-0.0021119711,-0.0038979887,0.0345263,0.41154438,0.7699362,-0.0004760581,0.40302178,0.46360493
TIMELESS,5.9526815,-0.0015780617,-0.019759476,1.9821749,2.1425962,-0.008982903,-0.020804016,-0.003250589,3.075331,-0.025095064,-0.0016661665,-0.0037742099,0.15989572,3.0371993,-0.0014915845,3.423369
SLC25A4,1.4337896,-0.005224756,-0.00711484,0.3941574,0.2821955,-0.004071158,0.5895977,-0.0016039291,0.58956856,-0.0156195555,0.3401145,-0.0050397534,1.842874,0.3752553,-0.0008206026,1.062841
TNK2,6.4203687,-0.0058064084,-0.022838408,2.3991308,1.9724437,-0.012195707,-0.018985182,-0.0021823493,3.509897,-0.027152956,0.3138638,0.12980512,-0.0009032996,2.6416206,0.26035118,3.8898008
MSH6,1.4506749,-0.007374125,-0.0050740493,0.47335684,0.33568847,-0.006626645,0.33544078,-0.0006576579,0.73639876,-0.016020153,0.33393082,-0.007097342,1.7162304,0.41903073,-0.0007070517,1.0289168
MCM5,6.42629,-0.0055429297,-0.022963926,2.3688388,1.9478041,-0.012370088,-0.01923069,-0.0017903536,3.550157,-0.026999101,0.3418197,0.07096569,-0.0014406795,2.6530056,0.24542141,3.8842223
CDKN1A,0.55112374,-0.004030751,-0.005013211,0.03239815,0.0840027,-0.0021212958,0.9499415,-0.002200222,0.087429866,-0.012852099,0.32299736,-0.00565987,1.9329128,0.07626108,-0.00088089757,0.6096686
ADAMTS9,1.5101787,-0.0055107097,-0.0077460133,0.4797368,0.28143916,-0.0041164802,0.5497063,-0.0014377987,0.70184726,-0.016506432,0.23398355,-0.005918807,1.8109577,0.46701527,-0.00039823912,1.0742416
GM10259,6.4203687,-0.0058064084,-0.022838408,2.3991308,1.9724437,-0.012195707,-0.018985182,-0.0021823493,3.509897,-0.027152956,0.3138638,0.12980512,-0.0009032996,2.6416206,0.26035118,3.8898008
HMGA1B,6.4203687,-0.0058064084,-0.022838408,2.3991308,1.9724437,-0.012195707,-0.018985182,-0.0021823493,3.509897,-0.027152956,0.3138638,0.12980512,-0.0009032996,2.6416206,0.26035118,3.8898008
SUN2,1.7167426,-0.005677052,-0.008375478,0.5648334,0.34682813,-0.004433553,0.4479239,-0.0013721054,0.8350656,-0.017484881,0.18794833,-0.0060732476,1.7312899,0.5804063,-0.0002628804,1.1419808
NFATC3,1.4461713,-0.005290088,-0.0068916925,0.42157674,0.26484802,-0.0039684465,0.6026908,-0.0014069575,0.60245955,-0.015598547,0.32101652,-0.0052946336,1.8340297,0.38278913,-0.00049868866,1.0788138
HYOU1,6.4203687,-0.0058064084,-0.022838408,2.3991308,1.9724437,-0.012195707,-0.018985182,-0.0021823493,3.509897,-0.027152956,0.3138638,0.12980512,-0.0009032996,2.6416206,0.26035118,3.8898008
GM14303,6.4203687,-0.0058064084,-0.022838408,2.3991308,1.9724437,-0.012195707,-0.018985182,-0.0021823493,3.509897,-0.027152956,0.3138638,0.12980512,-0.0009032996,2.6416206,0.26035118,3.8898008
TCEAL9,6.4203687,-0.0058064084,-0.022838408,2.3991308,1.9724437,-0.012195707,-0.018985182,-0.0021823493,3.509897,-0.027152956,0.3138638,0.12980512,-0.0009032996,2.6416206,0.26035118,3.8898008
FGF3,1.2901431,-0.0034939651,-0.0076926555,0.16087751,0.05672595,-0.0045400844,0.548528,0.056502596,0.76490843,-0.01470807,0.46050596,-0.009444193,1.5410037,0.40127406,-0.0012445883,0.92368627
MIR186,6.4203687,-0.0058064084,-0.022838408,2.3991308,1.9724437,-0.012195707,-0.018985182,-0.0021823493,3.509897,-0.027152956,0.3138638,0.12980512,-0.0009032996,2.6416206,0.26035118,3.8898008
PCBP2,6.4734616,-0.0031604746,-0.019976445,1.976847,1.8254424,-0.010586298,-0.015155401,-0.005684367,3.1438417,-0.02313594,0.7883827,0.55764395,-0.0045507695,2.8578043,0.62757826,4.2656517
GM9385,6.469479,-0.0061628893,-0.022974068,2.434746,1.9510425,-0.012254741,-0.019027973,-0.0019661586,3.5430067,-0.026902,0.3145847,0.13551709,-0.00072440814,2.6165867,0.27819657,3.91285
TRIB3,0.5730022,-0.003931058,-0.0048609483,0.023632258,0.08885927,-0.002151816,0.9445014,-0.0023080236,0.069174655,-0.012918192,0.34539372,-0.005414074,1.9380548,0.07860749,-0.0007735814,0.63953334
TBRG1,1.3394529,-0.004847998,-0.0067214575,0.36706215,0.22343774,-0.0038222766,0.65616536,-0.0017267813,0.5325754,-0.015854927,0.31937537,-0.0054307175,1.876518,0.3418671,-0.00043503477,1.0429678
LBHD1,6.4203687,-0.0058064084,-0.022838408,2.3991308,1.9724437,-0.012195707,-0.018985182,-0.0021823493,3.509897,-0.027152956,0.3138638,0.12980512,-0.0009032996,2.6416206,0.26035118,3.8898008
PFKL,1.3237368,-0.005290386,-0.0073317685,0.4050679,0.23503791,-0.0037395821,0.63394284,-0.0015021368,0.59326833,-0.015670842,0.24865687,-0.0058788755,1.8407571,0.38591552,-0.00040567055,0.986816
GLDC,1.3774241,-0.004558462,-0.0085128965,0.43974963,0.3459494,-0.0055279857,0.6524198,-0.0007921805,0.77487165,-0.01604804,0.3273884,-0.005370153,1.868628,0.31675678,-0.0017362415,1.0475862
LDLRAP1,0.86668825,-0.007295101,-0.0066627404,0.09615891,-0.00053780165,-0.0031394183,0.6744299,-0.005832264,0.6329254,-0.015329992,0.44187346,-0.0059826323,1.7317064,0.11970641,-0.0035919433,0.8011922
SPRY4,1.1981527,-0.0050977543,-0.006659512,0.31737494,0.20044173,-0.0034581323,0.723572,-0.0018102179,0.47969598,-0.015446224,0.2956141,-0.0058089285,1.8884473,0.30557504,-0.0005272953,0.93081313
ATP6V0A1,6.4203687,-0.0058064084,-0.022838408,2.3991308,1.9724437,-0.012195707,-0.018985182,-0.0021823493,3.509897,-0.027152956,0.3138638,0.12980512,-0.0009032996,2.6416206,0.26035118,3.8898008
VANGL1,1.2117523,-0.0049711177,-0.0064852266,0.31904867,0.18122137,-0.00348438,0.72963595,-0.0015918937,0.49070704,-0.015615662,0.28682375,-0.005946613,1.884942,0.3050264,-0.0003035882,0.94678396
SUN1,0.97624946,-0.006790757,-0.007540986,0.36082652,0.14702909,-0.0026220242,0.7022232,-4.0396004e-05,0.53305334,-0.01596035,0.31774122,-0.0058398573,1.9291611,0.3166725,-0.0022516155,0.7213365
ZFP281,1.2918041,0.052899454,-0.009001468,-0.0017796564,0.05324861,0.014819745,0.08745265,-0.004687855,0.3235184,-0.0054212986,0.14758809,0.942138,0.40851706,0.58682567,0.561859,1.2456402
ARID3B,5.79081,-0.011478211,-0.02582473,2.53071,1.8067423,-0.009859787,-0.01948402,0.345526,3.7142472,-0.029686376,0.28613442,0.037361484,0.0238536,2.7287467,-0.0018545093,3.2040277
KLF15,1.2397758,-0.0053680665,-0.006789411,0.32018426,0.20908208,-0.003631966,0.69558036,-0.0017464856,0.5115038,-0.015558918,0.31271818,-0.005876274,1.8891046,0.32014418,-0.0006452557,0.94010776
GCNT1,1.8105481,-0.0056991773,-0.008346295,0.59541917,0.363043,-0.004697322,0.41806602,-0.0013400395,0.8618307,-0.017556204,0.23186877,-0.0056910045,1.7573822,0.58203375,-0.0004175528,1.2282307
SET,6.4203687,-0.0058064084,-0.022838408,2.3991308,1.9724437,-0.012195707,-0.018985182,-0.0021823493,3.509897,-0.027152956,0.3138638,0.12980512,-0.0009032996,2.6416206,0.26035118,3.8898008
EHD1,1.5790799,-0.005570588,-0.007943547,0.508714,0.30127585,-0.004223703,0.5189314,-0.0014180999,0.7456023,-0.016864268,0.22132355,-0.0059805457,1.7896335,0.50239086,-0.00035585626,1.0996192
